"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3132",6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5
"3220",6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,7
"2964",7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7
"3895",5.9,0.435,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2,6
"1763",6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11,7
"2186",7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7
"3792",6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5
"227",6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
"996",7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6
"3080",6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5
"429",7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5
"4846",6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5
"427",7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
"3483",5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,8
"257",6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
"844",6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
"917",7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7
"618",7.8,0.26,0.27,1.9,0.051,52,195,0.9928,3.23,0.5,10.9,6
"3517",7.2,0.33,0.34,2,0.044,61,171,0.98947,3.25,0.53,13.3,7
"1670",7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6
"4829",6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5
"820",6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
"1411",7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,6
"1255",7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5
"4249",5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,6
"4254",5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,4
"3948",6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,7
"3980",6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4,6
"784",8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
"4762",6.2,0.15,0.27,11,0.035,46,116,0.99602,3.12,0.38,9.1,6
"3014",7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6
"1303",7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6
"3898",7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6
"1837",7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6
"966",8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
"516",6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,6
"3881",6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
"4093",6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
"3341",6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6
"1652",6.4,0.42,0.74,12.8,0.076,48,209,0.9978,3.12,0.58,9,6
"154",7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5
"505",7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
"3717",6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,5
"4422",6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
"408",6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5
"1371",7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6
"1839",6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,6
"4745",5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,5
"4279",5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4
"2903",6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
"3568",6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6
"1240",10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5
"3192",7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6,6
"298",7.2,0.19,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2,7
"905",6.9,0.21,0.28,2.4,0.056,49,159,0.9944,3.02,0.47,8.8,8
"4293",6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,6
"615",7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5
"2576",6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,6
"2471",7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,5
"1761",6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,6
"2811",7.8,0.26,0.31,3.6,0.025,22,100,0.99066,2.99,0.47,12.1,7
"1441",7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5
"460",6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5
"1937",9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,6
"1664",7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6
"3293",6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5
"4009",6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,6
"2213",7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
"4129",6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4,5
"313",7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,6
"3241",6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6
"1451",7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
"967",6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6
"4707",6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,7
"3999",6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
"3203",5.6,0.42,0.34,2.4,0.022,34,97,0.98915,3.22,0.38,12.8,7
"3761",7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,6
"303",6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6
"519",5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,6
"3090",6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,7
"2357",7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
"4096",6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,6
"1228",6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5
"2794",6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7
"4726",6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,6
"2228",7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5
"4219",8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,6
"947",8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5
"2998",6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,6
"2992",6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7
"3189",7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,8
"1293",6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6
"3216",7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,6
"4790",5.5,0.62,0.33,1.7,0.037,24,118,0.98758,3.15,0.39,13.55,6
"2725",7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
"3149",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
"1729",6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5
"451",7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,5
"1165",8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6
"397",8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
"2876",6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6
"686",6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5
"4870",6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,6
"2927",5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8
"1560",8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,4
"2390",6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,8
"4014",6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,6
"1276",6.2,0.22,0.27,1.5,0.064,20,132,0.9938,3.22,0.46,9.2,6
"3790",6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6
"2822",6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,5
"3026",5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,7
"4650",5.7,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
"714",6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,5
"1128",6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,7
"1242",7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,7
"723",6.9,0.31,0.34,1.6,0.032,23,128,0.9917,3.37,0.47,11.7,6
"1197",6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7
"1412",7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6
"1633",7.1,0.28,0.49,6.5,0.041,28,111,0.9926,3.41,0.58,12.2,8
"712",8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6
"1568",7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5
"3457",6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5
"4589",6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1,5
"696",6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,5
"2646",6.7,0.12,0.3,5.2,0.048,38,113,0.99352,3.33,0.44,10.1,7
"3567",7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
"3254",5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8
"780",8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
"495",6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,6
"2317",7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,7
"1598",6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6
"1775",6.9,0.19,0.28,3,0.054,33,99,0.9924,3.16,0.4,10.8,6
"1230",8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3
"1001",8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7
"2325",6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5
"3315",6.6,0.435,0.38,9.2,0.058,66,243,0.99833,3.23,0.54,9.1,6
"3768",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
"1874",5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
"1168",7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,6
"1916",7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
"4282",5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
"189",6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8
"4761",6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,6
"3993",6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,7
"2830",7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,5
"58",6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
"3729",6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5,7
"1666",6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8
"2672",5.9,0.3,0.3,2,0.03,38,142,0.98892,3.41,0.41,12.9,7
"1390",8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10,6
"3273",7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,7
"2370",6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6
"1792",6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,5
"4342",7.4,0.27,0.52,15.7,0.054,36,139,0.99788,3.04,0.62,10.0333333333333,6
"567",7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6
"2849",6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5
"2541",9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6,5
"389",6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6
"1267",7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8
"1045",7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,7
"2206",7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5
"2017",6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,7
"3604",7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7
"3171",7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6
"3204",6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
"2787",8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6
"2341",7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
"1015",6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
"2422",6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5
"1330",8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5
"4603",6.4,0.17,0.34,13.4,0.044,45,139,0.99752,3.06,0.43,9.1,6
"965",5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6
"3044",7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6
"1584",6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
"3109",7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3,5
"3889",6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
"1626",6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6
"733",8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7
"4230",6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,6
"319",5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7
"1172",8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5
"3866",6,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1,6
"821",6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9
"3405",5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6
"3323",5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
"3915",6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7
"3087",5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,7
"702",5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,7
"916",5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
"3772",6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6
"852",8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
"2858",6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,8
"3736",6.1,0.22,0.46,1.8,0.16,34,74,0.9884,3.19,0.33,13.4,6
"1716",6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
"3244",6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7
"1771",7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6
"2800",6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7
"3701",7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5
"1519",8.4,0.23,0.49,7.8,0.035,22,95,0.9935,3.04,0.34,12,6
"1552",6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,6
"3950",6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5
"2508",7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7
"3876",7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,7
"3416",6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7
"419",7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
"1884",7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
"1178",6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6
"2046",8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
"590",7,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,6
"4433",6.7,0.24,0.26,5.4,0.03,15,94,0.99045,3.15,0.38,12.7,6
"4444",7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5
"849",8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
"3600",6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4,6
"4840",5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4
"2012",7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
"485",6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5
"3261",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
"1657",5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,5
"2400",6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,6
"4467",6.2,0.32,0.24,4.1,0.051,34,149,0.99306,3.36,0.52,11,5
"3628",6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5,5
"1011",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
"1527",14.2,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
"1677",7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7
"2473",8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,6
"2043",5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6
"3922",7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2,5
"4149",6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6
"4333",7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
"834",6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,6
"3257",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
"3508",7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7
"656",7.7,0.27,0.35,5.3,0.03,30,117,0.992,3.11,0.42,12.2,6
"1073",8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7
"4368",7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5
"2580",6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6
"1534",7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
"166",7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5
"4274",5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
"4619",6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7
"4319",6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
"132",6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
"1865",7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6
"2834",7.2,0.44,0.28,3.4,0.048,22,112,0.99188,3.21,0.37,11.3,7
"232",8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6
"1795",6.6,0.37,0.24,2,0.064,23,120,0.9946,3.32,0.54,9.4,5
"3903",6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6
"3401",7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,6
"1984",7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
"2574",6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5
"3930",6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,5
"3864",6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
"3986",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
"3306",6.3,0.19,0.29,2,0.022,33,96,0.98902,3.04,0.54,12.8,7
"882",8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6
"3672",6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,7
"3509",6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5
"2398",6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6
"1395",5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7
"1440",6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5
"2521",7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5
"3162",6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
"378",7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
"2531",5.8,0.3,0.12,1.6,0.036,57,163,0.99239,3.38,0.59,10.5,6
"1166",6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5
"4171",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
"2564",5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
"1469",6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5
"359",10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,6
"1867",7.6,0.27,0.25,13.9,0.05,45,199,0.9984,3.34,0.5,9.8,6
"3732",7,0.34,0.26,10.3,0.041,51,166,0.99382,3.08,0.35,11.6,6
"2487",6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5
"1217",8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
"915",8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4
"239",7,0.26,0.59,1.4,0.037,40,120,0.9918,3.34,0.41,11.1,7
"1625",9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,7
"1960",8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
"1648",7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,7
"2867",5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
"4772",6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
"1542",7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
"3718",6.3,0.18,0.24,3.4,0.053,20,119,0.99373,3.11,0.52,9.2,6
"1025",6.8,0.34,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,6
"1860",8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,6
"1785",6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,7
"4102",6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5
"164",7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
"4394",6.4,0.18,0.28,17.05,0.047,53,139,0.99724,3.25,0.35,10.5,6
"93",6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7
"3685",6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
"4892",5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6,6
"3673",7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13,8
"2510",8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,5
"4727",6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6
"3287",6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9,7
"2120",8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
"2187",6.5,0.39,0.81,1.2,0.217,14,74,0.9936,3.08,0.53,9.5,5
"3641",6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6
"169",7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5
"744",5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5
"1213",7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6
"3805",8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
